2.71Am^-2 2GHz0.11899120696977877
2.711Am^-2 2GHz0.11856807273181265
2.7119999999999997Am^-2 2GHz0.1181646092808491
2.713Am^-2 2GHz0.11778288314946238
2.714Am^-2 2GHz0.11742499542751032
2.715Am^-2 2GHz0.11709305945785681
2.7159999999999997Am^-2 2GHz0.11678917768744329
2.7169999999999996Am^-2 2GHz0.1165154178861581
2.718Am^-2 2GHz0.11627378959089459
2.719Am^-2 2GHz0.11606622144263527
2.7199999999999998Am^-2 2GHz0.11589453951173627
2.7209999999999996Am^-2 2GHz0.11576044766028622
2.722Am^-2 2GHz0.11566550996423389
2.723Am^-2 2GHz0.11561113581198702
2.7239999999999998Am^-2 2GHz0.11559856765515088
2.7249999999999996Am^-2 2GHz0.1156288718384599
2.726Am^-2 2GHz0.11570293244347614
2.727Am^-2 2GHz0.1158214476712458
2.7279999999999998Am^-2 2GHz0.11598492948952926
2.7289999999999996Am^-2 2GHz0.11619370526838978
2.73Am^-2 2GHz0.11644792189652277
2.731Am^-2 2GHz0.11674755138944355
2.7319999999999998Am^-2 2GHz0.11709239809963244
2.7329999999999997Am^-2 2GHz0.11748210687011588
2.734Am^-2 2GHz0.11791617148692032
2.735Am^-2 2GHz0.11839394392371566
2.7359999999999998Am^-2 2GHz0.11891464291582336
2.7369999999999997Am^-2 2GHz0.1194773626146829
2.738Am^-2 2GHz0.12008108077058864
2.739Am^-2 2GHz0.12072466593255311
2.7399999999999998Am^-2 2GHz0.12140688450374403
2.7409999999999997Am^-2 2GHz0.12212640688166083
2.742Am^-2 2GHz0.12288181308025964
2.743Am^-2 2GHz0.12367159820048995
2.7439999999999998Am^-2 2GHz0.12449417716092642
2.7449999999999997Am^-2 2GHz0.12534788991255816
2.746Am^-2 2GHz0.1262310061072279
2.747Am^-2 2GHz0.12714173068324375
2.7479999999999998Am^-2 2GHz0.12807820915635856
2.7489999999999997Am^-2 2GHz0.12903853407851562
2.75Am^-2 2GHz0.1300207515581375
