7.04Am^-2 2GHz0.31769513748425793
7.041Am^-2 2GHz0.31802274238014405
7.042Am^-2 2GHz0.3183512462362
7.043Am^-2 2GHz0.3186805470889637
7.044Am^-2 2GHz0.3190105448899492
7.045Am^-2 2GHz0.3193411420649825
7.045999999999999Am^-2 2GHz0.3196722431719968
7.047Am^-2 2GHz0.3200037549903056
7.048Am^-2 2GHz0.32033558660212813
7.0489999999999995Am^-2 2GHz0.3206676490856734
7.05Am^-2 2GHz0.3209998558228181
7.051Am^-2 2GHz0.32133212225350793
7.052Am^-2 2GHz0.32166436572624996
7.053Am^-2 2GHz0.3219965058198858
7.054Am^-2 2GHz0.32232846416714334
7.055Am^-2 2GHz0.32266016430594385
7.056Am^-2 2GHz0.322991531612437
7.057Am^-2 2GHz0.32332249370132843
7.058Am^-2 2GHz0.3236529797828825
7.059Am^-2 2GHz0.3239829211100664
7.06Am^-2 2GHz0.3243122507411523
7.061Am^-2 2GHz0.3246409034594462
7.061999999999999Am^-2 2GHz0.32496881587278226
7.063Am^-2 2GHz0.3252959264240524
7.064Am^-2 2GHz0.3256221751292535
7.0649999999999995Am^-2 2GHz0.3259475037865847
7.066Am^-2 2GHz0.3262718558385794
7.067Am^-2 2GHz0.326595176370992
7.068Am^-2 2GHz0.3269174120767028
7.069Am^-2 2GHz0.3272385109296521
7.07Am^-2 2GHz0.3275584230027514
7.071Am^-2 2GHz0.327877099394203
7.072Am^-2 2GHz0.32819449307970944
7.073Am^-2 2GHz0.32851055805661905
7.074Am^-2 2GHz0.3288252501999007
7.075Am^-2 2GHz0.32913852644136665
7.076Am^-2 2GHz0.3294503453316955
7.077Am^-2 2GHz0.32976066669434473
7.077999999999999Am^-2 2GHz0.3300694517256695
7.079Am^-2 2GHz0.3303766628703005
7.08Am^-2 2GHz0.33068226391543987
7.0809999999999995Am^-2 2GHz0.33098621993117905
7.082Am^-2 2GHz0.3312884970036389
7.083Am^-2 2GHz0.33158906268512395
7.084Am^-2 2GHz0.33188788579864725
7.085Am^-2 2GHz0.33218493590958326
7.086Am^-2 2GHz0.3324801842925212
7.087Am^-2 2GHz0.3327736028572256
7.088Am^-2 2GHz0.33306516490584503
7.089Am^-2 2GHz0.3333548447285521
7.09Am^-2 2GHz0.33364261760490854
7.091Am^-2 2GHz0.33392846015478034
7.092Am^-2 2GHz0.3342123497882231
7.093Am^-2 2GHz0.3344942647343647
7.093999999999999Am^-2 2GHz0.3347741845906992
7.095Am^-2 2GHz0.3350520896036548
7.096Am^-2 2GHz0.3353279612729153
7.0969999999999995Am^-2 2GHz0.3356017818210148
7.098Am^-2 2GHz0.33587353431027966
7.099Am^-2 2GHz0.33614320294470734
7.1Am^-2 2GHz0.33641077254890034
7.101Am^-2 2GHz0.3366762289317873
7.102Am^-2 2GHz0.33693955864752906
7.103Am^-2 2GHz0.33720074929839083
7.104Am^-2 2GHz0.3374597890629909
7.1049999999999995Am^-2 2GHz0.3377166668078421
7.106Am^-2 2GHz0.3379713725993648
7.106999999999999Am^-2 2GHz0.3382238967718418
7.108Am^-2 2GHz0.33847423066952453
7.109Am^-2 2GHz0.33872236633194513
7.109999999999999Am^-2 2GHz0.33896829653115873
7.111Am^-2 2GHz0.3392120144808213
7.112Am^-2 2GHz0.3394535143075721
7.1129999999999995Am^-2 2GHz0.3396927908925336
7.114Am^-2 2GHz0.33992983939085736
7.115Am^-2 2GHz0.3401646558810204
7.116Am^-2 2GHz0.3403972369864107
7.117Am^-2 2GHz0.3406275798964076
7.118Am^-2 2GHz0.3408556823898785
7.119Am^-2 2GHz0.3410815429222
7.12Am^-2 2GHz0.3413051602095806
7.1209999999999996Am^-2 2GHz0.3415265338987635
7.122Am^-2 2GHz0.34174566379178967
7.122999999999999Am^-2 2GHz0.34196255058574204
7.124Am^-2 2GHz0.3421771951019718
7.125Am^-2 2GHz0.3423895989494966
7.1259999999999994Am^-2 2GHz0.3425997639945083
7.127Am^-2 2GHz0.34280769271717326
7.128Am^-2 2GHz0.34301338802459697
7.129Am^-2 2GHz0.3432168531252874
7.13Am^-2 2GHz0.343418091788326
7.131Am^-2 2GHz0.3436171082499374
7.132Am^-2 2GHz0.3438139069779832
7.133Am^-2 2GHz0.344008492869257
7.134Am^-2 2GHz0.34420087130879495
7.135Am^-2 2GHz0.3443910480052951
7.136Am^-2 2GHz0.34457902888109887
7.137Am^-2 2GHz0.3447648204410277
7.138Am^-2 2GHz0.34494842928561886
7.138999999999999Am^-2 2GHz0.3451298624988699
7.14Am^-2 2GHz0.3453091274835806
7.141Am^-2 2GHz0.34548623172656723
7.1419999999999995Am^-2 2GHz0.34566118337769774
7.143Am^-2 2GHz0.3458339904630839
7.144Am^-2 2GHz0.3460046615680002
7.145Am^-2 2GHz0.34617320540843344
7.146Am^-2 2GHz0.3463396309819047
7.147Am^-2 2GHz0.3465039475196364
7.148Am^-2 2GHz0.3466661645274814
7.149Am^-2 2GHz0.34682629169782186
